Sample_id,Type,ACE-N509-H10N2,ACP3-N220-H5N4S2F1,ACP3-N220-H6N5S2F3,ACP3-N333-H6N2,ACP3-N333-H8N2,ACP3-N94-H3N3F1,ACP3-N94-H4N3,ACP3-N94-H4N3F1,ACP3-N94-H5N4,ACP3-N94-H5N4F1,ACP3-N94-H5N4S1,ACP3-N94-H5N4S2,ACP3-N94-H5N5S2,ACP3-N94-H5N5S2F1,ACP3-N94-H6N5S3,ACP3-N94-H7N6S2,ADGRG2-N551-H9N2,AGRN-N135-H5N4S2,AGRN-N250-H3N2F2,AGRN-N250-H4N3S1F1,AGRN-N250-H4N3S1F2,AGRN-N250-H5N4F1+174.05,AGRN-N250-H5N4F4,AGRN-N250-H5N4S1,AGRN-N250-H5N4S2F2,AGRN-N932-H4N3S1F1,AGRN-N932-H5N4F2,AGRN-N932-H5N4S1,AGRN-N932-H5N4S1F1,ANGPT1-N122-H6N5F3,ANGPT1-N122-H6N5F4,BTD-N349-H6N5F4,C1QTNF1-N93-H5N4F3,CANT1-N88-H5N4F3,CHGB-N315-H5N3F2+204.06,CHGB-N315-H5N3F3+204.06,CHGB-N315-H5N4S1,CHGB-N315-H5N4S1F2,CHST11-N205-H6N5F4,CLU-N103-H10N7F1,CLU-N103-H10N9,CLU-N103-H10N9F1,CLU-N103-H11N7F2,CLU-N103-H4N6F2,CLU-N103-H5N3+242.02,CLU-N103-H5N4F1,CLU-N103-H5N4F1+174.05,CLU-N103-H5N4F2,CLU-N103-H5N4F2+163.09,CLU-N103-H5N4S1F1,CLU-N103-H5N4S2F1,CLU-N103-H5N5F4,CLU-N103-H6N5F1,CLU-N103-H6N5F3,CLU-N103-H6N5F4,CLU-N103-H6N5S1F1,CLU-N103-H6N5S1F3,CLU-N103-H6N5S2F1,CLU-N103-H6N5S2F2,CLU-N103-H6N5S2F3,CLU-N103-H6N5S3F1,CLU-N103-H6N6F3,CLU-N103-H7N5F3,CLU-N103-H7N5F4,CLU-N103-H7N6S1F4,CLU-N103-H7N6S1F5,CLU-N103-H8N6,CLU-N103-H8N7S1F1,CLU-N103-H9N6,CLU-N103-H9N7F4,CLU-N291-H4N3F1,CLU-N291-H4N3F3,CLU-N291-H4N3S1,CLU-N291-H5N2,CLU-N291-H5N3F3+203.08,CLU-N291-H5N3S1,CLU-N291-H5N4F1,CLU-N291-H6N2,CLU-N291-H6N3S1,CLU-N291-H6N4F3,CLU-N291-H6N5S3,CLU-N291-H7N2,CLU-N291-H7N4F1,CLU-N291-H7N4F2,CLU-N291-H7N6F6,CLU-N291-H9N6,CLU-N354-H3N3F2,CLU-N354-H4N2+163.04,CLU-N354-H4N2+190.04,CLU-N354-H4N3F2,CLU-N354-H5N3,CLU-N354-H5N3F2+162.05,CLU-N354-H5N3F3+204.06,CLU-N354-H5N3S1F1,CLU-N354-H5N4F1+174.05,CLU-N354-H5N4F2,CLU-N354-H5N4F2+163.09,CLU-N354-H5N4F2+202.05,CLU-N354-H5N4S1F2,CLU-N354-H5N8F1,CLU-N354-H6N2,CLU-N354-H6N3S1,CLU-N354-H6N3S1F1,CLU-N354-H6N4F1,CLU-N354-H6N4F3,CLU-N354-H6N5F1,CLU-N354-H6N5F3,CLU-N354-H6N5F4,CLU-N354-H6N5S1F3,CLU-N354-H7N4F3,CLU-N354-H7N5F2,CLU-N354-H8N5F4,CLU-N354-H9N6,CLU-N374-H10N7F1,CLU-N374-H10N9,CLU-N374-H10N9F1,CLU-N374-H11N10F1,CLU-N374-H11N7F2,CLU-N374-H12N11,CLU-N374-H4N3F2,CLU-N374-H4N5F2,CLU-N374-H4N5F4,CLU-N374-H5N3F3+203.07,CLU-N374-H5N4F1+174.05,CLU-N374-H5N4F2,CLU-N374-H5N4F2+202.05,CLU-N374-H5N4F3,CLU-N374-H5N4S2,CLU-N374-H5N5F4,CLU-N374-H5N6F4,CLU-N374-H6N5F3,CLU-N374-H6N5F4,CLU-N374-H6N5F6,CLU-N374-H6N5S1F2,CLU-N374-H6N5S1F3,CLU-N374-H6N5S1F4,CLU-N374-H6N5S2,CLU-N374-H6N5S2F2,CLU-N374-H6N5S2F4,CLU-N374-H6N5S3,CLU-N374-H6N6F4,CLU-N374-H7N6F2,CLU-N374-H7N6F3,CLU-N374-H7N6F5,CLU-N374-H7N6S1F4,CLU-N374-H7N6S1F6,CLU-N374-H8N6,CLU-N374-H8N7S1F6,CLU-N374-H8N8,CLU-N374-H9N6,CLU-N374-H9N7F1,CLU-N374-N1F1,CLU-N86-H10N7F1,CLU-N86-H10N7F2,CLU-N86-H10N9,CLU-N86-H11N7F2,CLU-N86-H11N8F1,CLU-N86-H5N4F2,CLU-N86-H5N4S2,CLU-N86-H5N6F5,CLU-N86-H6N5,CLU-N86-H6N5S1,CLU-N86-H6N5S2,CLU-N86-H6N5S2F5,CLU-N86-H6N6F5,CLU-N86-H6N6S3,CLU-N86-H7N6F3,CLU-N86-H7N8F1,CLU-N86-H8N7F1,CLU-N86-H8N7F2,CLU-N86-H8N7F5,CLU-N86-H9N5F4,CLU-N86-H9N6,CLU-N86-H9N7,CPE-N139-H5N3F2+162.05,CPE-N139-H6N3S1,CPE-N390-H5N4F3,CPZ-N57-H5N4F2,CPZ-N57-H5N4F5,CPZ-N57-H6N5F3,CPZ-N57-H7N6F5,CPZ-N57-H8N7,CTSC-N53-H6N5F4,CTSF-N367-H5N4F3,EFEMP2-N198-H5N4F4,FAM3B-N120-H5N4F3,FAM3D-N107-H5N4F4,FN1-N1007-H4N2+163.04,FN1-N1007-H4N2+190.04,FN1-N1007-H4N3F2,FN1-N1007-H4N4F1,FN1-N1007-H5N3
OA.1,AZS_C2,20.13091226,23.84765988,21.96551558,27.56972053,23.60757851,16.61062826,19.44502216,19.36237039,20.1204147,17.64837496,0,23.63675032,19.93667566,19.37967371,0,0,0,0,0,18.86764574,21.83246378,20.66900847,0,18.92616133,0,0,0,0,25.47394839,0,0,0,0,0,0,19.5129766,0,0,0,25.04107401,0,0,26.01720119,0,0,21.85730967,0,24.53394083,0,22.15529945,23.78665121,0,22.5742556,25.23416673,26.41489037,21.13566605,0,0,0,20.3625377,0,0,0,23.18980521,0,0,24.85907165,21.10960605,26.65495669,0,23.9905583,24.07450484,0,0,0,0,0,0,0,21.54756046,0,19.99073496,0,0,26.32645405,23.24125486,0,22.38853718,25.90113417,24.5875346,0,0,21.03958588,0,24.45833534,27.71113334,0,0,21.51481481,0,25.57051915,0,0,0,26.27909009,22.70329405,24.5864147,25.92302896,0,24.06580458,0,23.64240681,25.05055758,25.87778338,0,22.53915078,0,23.31365464,0,24.09472687,0,0,25.87738687,0,25.46552147,0,28.38936763,0,0,0,24.31860574,27.90550484,0,0,23.0665993,24.63596497,0,0,0,0,0,0,0,22.94047288,0,21.52702592,25.35379929,0,0,27.07238204,24.65041967,0,26.60181631,26.78565285,0,27.66924317,0,24.20434038,0,25.11274413,0,0,20.72013095,0,23.62675737,0,0,21.28126675,25.33926732,23.47395495,0,25.92325481,25.56109775,23.01523583,0,22.99512103,0,0,24.24150913,0,0,0,0,0,19.7772997,0,0,21.03679061,25.84846151,24.629704,24.02275055,0
OA.2,AZS_C2,0,24.77142433,23.85489257,28.06960225,23.79534301,17.42070036,20.0779935,20.01821379,20.42446157,19.05546876,22.80049928,0,20.05908522,0,20.66082846,20.17365969,0,0,18.97859978,0,20.84005944,21.06823495,0,0,23.52893496,0,18.60735049,20.16130001,25.52467168,0,0,0,0,0,0,0,0,0,0,22.03770315,0,0,22.52696686,0,0,0,0,24.98896021,0,21.52496123,0,22.85468706,22.79867236,24.99678047,26.68953759,20.87580231,25.16635189,25.17793396,0,0,0,0,21.69177934,0,0,0,0,0,22.90022292,0,23.4382221,23.79915633,0,0,0,20.00220309,24.58575149,20.0432672,21.70540141,22.8056144,0,20.23181512,0,0,25.74547598,23.8102799,0,0,25.41342662,25.03026513,0,0,0,0,25.08637349,27.11747673,0,0,0,0,24.97567755,0,0,0,25.1797044,23.96108796,24.771112,26.04118242,0,21.78844556,21.16970548,0,23.1103953,23.76573247,0,22.98520056,0,0,0,23.95715521,0,0,0,22.15871442,24.78426985,0,28.39393814,21.00307441,23.72969003,22.94931148,24.40739738,27.41770584,0,0,22.16129228,24.13351871,0,0,0,19.99598894,0,0,0,25.17003414,0,0,21.21448641,0,22.70046593,23.88051447,22.63726436,0,22.93248042,21.77148593,0,23.42386118,0,23.79015907,0,0,0,0,20.65370007,0,21.8910573,22.11421602,0,0,25.09804041,22.65494503,0,21.0201173,0,21.50407126,0,23.13691981,0,0,23.96108037,0,0,0,0,0,19.32576627,0,20.14284896,0,26.28863207,25.02457101,24.31341565,0
OA.3,AZS_C2,20.59934064,24.84002066,23.04846549,27.47520179,21.33259323,0,20.15374822,19.88091292,20.53228363,20.53270404,0,24.02354124,20.78657546,21.44061107,22.73857877,20.85483326,0,20.74500673,18.90377176,19.32808722,21.3532587,0,0,19.01105965,24.58706935,0,0,21.37889207,26.10113775,0,0,18.79397915,0,20.92240229,0,23.66059936,0,0,0,22.29441006,22.2843352,21.61270293,23.37916528,20.69387918,0,24.71771435,0,26.37583752,0,21.92668266,23.16773496,22.52736318,25.49042869,27.16513555,29.30441217,0,25.13362181,0,0,0,0,0,0,25.55118837,0,0,21.69059558,0,22.25227209,21.03298371,24.87880791,24.05724087,0,0,0,0,22.65741661,0,21.45216893,0,20.31218148,20.90528694,0,0,0,20.58904369,0,0,0,25.29156388,0,0,0,0,0,27.69187624,0,0,21.37326799,20.3168453,25.61898565,0,0,0,24.19792063,25.21055014,26.49175392,27.25522994,22.19765585,0,0,0,22.95992667,23.20586092,23.75153322,25.39494177,22.25951186,0,0,25.27035897,21.34611749,0,0,0,26.98019858,0,29.80816851,19.99198193,23.70395276,23.41402596,26.68004282,28.96087158,0,23.49830412,25.45265992,25.59472247,0,21.85716604,0,21.46977804,0,21.93223565,23.67857382,26.41029131,23.89734396,22.5196566,21.46177492,21.49275167,23.35676445,0,22.61349993,19.41224657,22.83807359,23.27473244,22.74870145,18.91405062,0,24.46488622,0,22.10728502,0,0,20.82701293,0,24.39261041,20.1831773,24.59173939,21.42171351,25.15508251,22.82783302,0,21.80921709,22.77116453,24.18271258,0,23.40474101,0,21.27388364,23.63527208,21.42382338,21.80141198,0,18.98117354,0,19.40918304,0,21.2198346,0,0,25.68050998,25.86214938,0
OA.4,AZS_C2,0,24.29405977,22.55000792,29.14705553,23.81097806,16.43545663,19.480789,18.57913301,20.16425411,20.12906696,0,23.79800784,19.5028552,0,20.56880115,0,0,0,18.10771568,0,20.62415227,19.92316191,0,0,23.19258312,0,0,0,24.95380016,0,0,0,20.27682904,0,0,0,0,0,0,21.93815953,0,0,22.46840033,0,0,22.97290964,22.08276526,25.20972251,0,21.78850947,0,0,23.27581593,24.98270157,26.74753677,0,23.02015135,0,0,0,0,0,0,0,0,0,0,0,21.00856523,0,23.2449168,22.97190335,0,0,0,0,22.33949719,0,0,0,0,0,0,0,25.3378454,22.91067441,21.66442578,0,0,25.29316246,21.9093513,0,0,0,24.58964218,27.2137142,0,0,0,0,24.8758739,0,0,0,24.7927138,22.96487718,25.89466024,26.56255649,0,0,0,0,20.46434327,21.38333814,22.52472129,24.18454765,0,20.71425109,0,23.93528284,0,0,0,22.48588185,25.43833955,0,28.39963161,0,22.6777202,0,25.88391084,28.27915742,25.16725196,0,21.23908254,24.26106456,0,0,0,0,0,0,0,26.53928309,0,19.88331277,0,0,21.69878712,23.13875642,22.24213177,0,22.11681797,21.53552344,0,22.90691589,0,23.83740532,0,0,0,0,20.42000767,0,0,0,0,0,21.17314061,22.28799915,0,20.79523165,0,21.83761519,0,23.27370456,0,0,22.99407453,0,0,0,0,0,17.9408292,0,0,0,0,24.39079536,23.81418144,0
OA.5,AZS_C2,19.97616668,25.8354682,24.98612624,30.38197526,23.36128736,17.51623139,19.78131521,20.57147303,21.12834609,21.29710319,24.89229635,24.44442035,20.90884092,20.9658536,19.55787058,20.93470086,0,21.52438152,20.52600504,19.78860217,22.50146979,0,0,19.93740848,24.61189728,0,0,19.82041627,26.89901776,0,0,0,19.46683264,0,24.85111251,0,0,0,0,23.2439213,0,22.14166731,24.33457468,0,0,22.8290832,0,25.64473309,0,22.68299897,0,23.25692985,23.34054759,24.89481474,27.25083261,22.14321096,23.77355947,22.74800845,0,0,0,0,0,25.79542203,0,0,22.17814956,21.52707396,22.04931812,0,23.46197235,0,0,0,0,0,0,0,0,0,20.45731319,0,0,0,0,21.16790112,0,0,0,25.3755279,0,24.62344026,0,0,0,27.6986787,0,0,22.8264292,0,25.78146755,22.16929929,0,22.87591811,25.94453861,23.35802988,25.64017527,25.37996655,0,0,0,0,0,23.41358618,22.24400453,23.88578321,0,0,0,24.40908411,0,0,0,0,25.94958037,0,28.81336406,21.34572857,24.03747552,0,25.38009949,28.28449839,0,18.57949279,0,24.50439027,0,0,0,0,0,0,0,24.55112933,0,22.43320766,0,0,0,24.16863045,0,0,21.40507848,22.92590096,0,24.77697552,0,23.4674485,0,22.51117563,0,18.74247608,22.42417411,0,0,0,0,21.72243696,25.61952844,23.44117836,0,20.04387263,23.38242963,22.35345917,20.00663338,24.11383054,0,0,24.32124746,0,0,0,0,20.61293032,0,0,0,0,0,25.07571222,24.58637204,0
OA.6,AZS_C2,0,0,20.78955221,26.43142128,22.71003825,0,17.46222114,17.81523453,19.6295436,20.46541336,22.65078783,22.0173037,0,0,0,0,0,0,19.62992677,0,20.59802654,0,0,0,21.66336806,0,0,0,25.01626242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12150568,0,24.13549446,0,22.75861433,0,21.30556538,23.74744714,23.9514445,24.98313533,0,0,0,0,0,0,22.22651138,0,0,0,0,18.61343834,0,20.5396343,0,0,0,0,0,0,0,17.84241281,19.54810979,0,0,0,19.43536258,22.10817603,0,0,0,0,0,0,22.60841244,0,0,0,0,0,26.36692082,0,0,0,0,24.03586886,0,0,23.13912806,0,23.76066993,23.45837555,23.87047695,0,0,21.22604155,0,0,0,0,19.77590524,0,0,0,22.81599411,0,24.34066083,0,0,24.27235289,0,27.16243307,0,22.90942605,0,24.24667583,26.4843658,26.37515408,0,22.07037442,22.76741026,0,0,0,0,0,24.02432057,24.67457482,23.52234417,0,0,19.81741401,0,0,21.97425023,0,0,24.49910048,0,0,0,0,20.25244476,0,0,0,0,0,0,0,0,0,21.15563384,0,0,0,0,0,0,0,22.19681893,0,0,22.90840879,0,0,0,0,0,18.73276203,0,20.50705246,0,0,23.01955873,24.11387134,0
OA.7,AZS_C2,0,24.8789793,23.62419082,27.31441684,20.77912848,0,18.67704328,19.1402547,19.59203791,19.33122797,0,18.44175714,20.06156896,19.68192839,21.48939902,20.1854978,0,21.71293354,18.26905008,18.92134069,21.34891161,20.19125992,0,0,24.77082713,0,0,20.95673695,25.44934778,0,0,0,0,0,0,0,24.36853309,0,0,22.23066986,0,0,22.45829894,0,0,22.34002952,0,25.23655275,0,22.51174322,0,22.13206328,22.38473617,25.31804636,26.7099235,20.70165686,22.7529871,0,23.36924473,0,0,0,0,21.46171808,0,0,21.18935488,21.52665388,22.2525474,0,23.03318697,23.41559742,0,0,0,19.64170836,20.22229178,19.33323468,22.14272676,23.28781624,20.32596747,19.78791055,0,0,24.85105207,0,0,22.30640636,25.97700893,25.20232909,0,0,22.08827015,0,25.59384273,27.4780669,0,0,0,0,25.15884295,0,22.94703307,22.99633546,25.95822737,24.03051385,24.43242187,25.88749344,0,22.11079187,0,23.31917424,0,22.81516651,21.89702876,23.56092096,0,20.70736678,0,23.79527304,19.07005378,0,0,22.7689761,25.03733326,0,23.51227632,21.13819454,22.58186137,23.77384352,25.04645905,27.14763258,0,20.22327548,24.89080146,25.22506069,0,0,0,0,22.66995119,0,21.80611798,25.31857686,21.40743725,22.21222578,21.78641435,0,21.7301602,23.25884978,22.42678211,0,22.02113161,20.52829629,0,24.31704261,0,23.69832856,0,22.02748463,0,0,19.31128122,0,24.32770909,0,0,21.64706698,25.01058708,22.69275154,0,0,21.72373386,21.92412725,0,22.92843671,0,0,23.28806202,0,0,0,0,20.39986091,19.37298365,0,21.41650438,22.39163133,26.69647145,25.38286595,24.81304173,0
OA.8,AZS_C2,0,23.83602275,22.94636994,28.84036192,0,0,18.76763715,18.28809747,19.89730971,19.67859923,0,22.89219729,19.76225699,19.57224295,20.97571427,20.27517787,18.34888056,0,19.93563845,19.67705742,22.31275243,21.67432093,0,18.88705468,24.06592224,0,0,21.30676274,25.72397385,0,0,18.00933585,0,0,0,0,20.92655887,0,0,0,21.5511962,21.23738182,0,0,0,24.38382481,24.70070551,27.00906017,0,22.79268784,21.35979495,0,23.30231826,27.84454919,27.89808918,0,25.14897847,0,22.47624332,0,0,21.91784196,22.85896985,25.06993311,20.26813676,0,0,0,21.38314418,21.22750443,0,0,0,0,0,0,22.85003629,0,0,0,21.8906727,0,0,0,0,0,0,0,24.44157976,24.63022539,0,0,0,0,26.3232745,27.55474011,0,0,0,0,23.10509809,0,0,0,0,23.99525271,25.72361448,26.17430018,20.46888853,0,23.09544401,0,0,20.43878497,22.88724704,0,0,0,0,24.95701489,0,0,0,25.93136214,27.46963466,0,29.56471038,21.79079137,23.29527984,0,27.60183338,28.01026058,0,23.29695955,25.91645425,24.23802948,24.03240378,21.28150875,0,0,0,20.42537443,23.48761106,25.32503563,22.08366374,0,0,0,22.67693685,21.90915987,21.26000374,0,21.57099528,21.48904901,23.17865233,22.6849265,0,25.65099741,19.61798683,20.8077149,0,0,22.54853075,0,22.12701498,23.52644741,22.85902613,0,24.22647669,21.76704303,23.16027205,0,21.46901644,20.62976012,0,23.25198979,0,21.16614066,22.07361103,21.64525888,0,0,0,0,0,0,0,0,25.83385867,24.6723436,25.32018193,23.49367273
OA.9,AZS_C2,19.85084643,26.24375781,23.31477695,29.25789778,25.58052202,19.63693864,21.13256056,21.70644119,21.99998565,20.67670496,24.12410352,25.10091964,21.34731787,21.78364644,23.07758173,21.60903383,0,0,20.29996893,0,22.00551229,0,0,0,23.53018621,0,0,20.73770082,26.06759874,0,0,0,0,0,0,0,23.52332382,22.11179965,0,23.4577037,0,0,21.66947414,0,0,22.45189381,0,24.58532264,0,22.71974971,0,23.07053239,22.2972661,24.6207395,26.34728068,22.35162066,22.32024801,22.62591123,22.52644298,21.54708782,20.12280481,0,0,24.32398709,0,0,22.14775534,0,22.71508002,0,0,20.10127189,0,0,0,20.33863624,0,0,22.51248793,21.28895987,0,0,0,0,0,21.90218106,0,0,22.94706962,24.47265192,21.50810061,0,0,0,0,27.3427089,0,0,0,0,24.95046122,0,23.75659708,23.70541464,25.89954309,23.8418898,24.3064562,25.84864654,0,23.9755788,23.47799141,23.58807304,23.18994457,24.49369219,22.02708654,23.16431824,0,21.44834487,0,23.84230447,0,0,0,0,24.92120773,0,28.30742736,21.76202228,24.0470926,0,24.07103843,27.16567655,0,20.85570899,23.23219781,24.75512413,0,0,0,22.7642446,0,0,0,24.96165778,0,0,0,0,22.91819771,24.32241618,23.39349987,0,26.15280881,25.08437141,0,27.01450132,0,24.57802722,0,22.55096095,0,20.23261778,23.80624607,0,23.8237776,23.86765078,0,21.29201342,21.92492787,23.20523686,0,21.00518023,19.85903969,24.87690974,0,23.01760107,0,0,22.94431526,0,0,0,0,0,0,0,21.02493411,0,25.30865643,24.1939033,23.77037421,0
OA.10,AZS_C2,20.20238892,25.14787514,23.20026101,27.81148677,21.61498155,16.92685932,18.95465979,18.58149355,19.72520907,17.88245415,0,22.1607179,20.05119356,19.56142115,21.41521009,19.59269437,0,0,20.0108946,19.58659992,21.92712936,0,0,20.01448546,24.57304908,0,0,21.84813049,26.57956889,0,0,0,0,0,0,0,0,0,0,23.7288484,0,0,23.8196046,0,0,21.13766908,0,23.86685679,0,22.70696103,0,21.7820151,22.00471532,24.3660666,25.7716161,0,23.64327094,23.22521904,0,22.23997595,22.27593533,0,0,0,0,0,22.15460336,0,23.21598509,0,23.09780679,23.9997429,0,0,0,0,0,20.64372165,0,0,0,20.75495477,20.03175071,0,26.54473018,24.52462299,0,0,26.11858027,24.61254935,0,0,0,0,0,26.14595752,0,0,23.4545383,0,24.99486045,21.75410731,0,0,24.01712513,23.64180415,24.80865465,25.73152412,0,22.22556579,0,23.26837151,23.54539435,23.08433895,0,22.02849261,0,0,21.62343772,23.24043567,0,0,0,0,23.87658749,0,27.32569253,0,0,0,22.31151436,26.8167439,25.60245217,20.87405881,23.75948232,24.84980997,0,0,0,0,0,0,0,23.27962334,0,22.57391187,21.38486693,0,0,23.5639845,23.16202942,0,26.3968317,25.96654005,0,27.63378733,0,23.53679828,0,22.07809916,0,0,19.73365699,0,0,23.06145872,0,23.51937536,25.30066592,22.68619651,0,0,23.07641686,24.5999309,0,23.46595152,0,0,22.31653922,0,0,0,0,0,18.85085905,0,20.79674539,0,25.72748965,24.32390263,23.77123324,0
