Sample_id,Type,MPO-N355-H6N2,CLU-N86-H10N7F1,CLU-N374-H10N9F1,CLU-N374-H10N9,FN1-N1007-H3N3,CLU-N354-H3N9F1
OA.1,AZS_C2,21.11403543,0,0,20.31333655,0,0
OA.2,AZS_C2,21.02486464,0,0,19.92442384,22.84700885,0
OA.3,AZS_C2,18.71283259,0,0,0,22.68133895,0
OA.4,AZS_C2,0,0,19.29102619,19.44008739,0,0
OA.5,AZS_C2,22.78533328,0,20.7890703,0,22.05585352,0
OA.6,AZS_C2,20.19145804,0,0,0,22.30307088,0
OA.7,AZS_C2,17.09145847,0,19.42881312,17.9551038,21.88881122,0
OA.8,AZS_C2,18.74608574,0,0,0,22.17323152,0
OA.9,AZS_C2,20.69664645,0,0,17.5935354,22.849868,0
OA.10,AZS_C2,0,0,0,0,21.39321376,0
OA.11,AZS_C2,17.1173706,0,0,0,20.29225922,0
OA.12,AZS_C2,20.03938236,0,0,0,21.74699813,0
HS.1,AZS_C1,18.07152083,0,0,20.77132758,0,21.76804926
HS.2,AZS_C1,19.20008031,0,0,19.57851705,0,20.63419261
HS.3,AZS_C1,17.39489502,0,0,21.70154544,22.75933863,0
HS.4,AZS_C1,0,21.39567341,0,19.90992759,22.09763633,20.65390028
HS.5,AZS_C1,0,22.45273386,20.53101164,19.98930661,20.4654184,0
HS.6,AZS_C1,0,0,20.43082559,0,22.88438071,18.83439809
HS.7,AZS_C1,0,24.39134927,21.15488046,19.78643751,0,21.23011234
HS.8,AZS_C1,0,0,0,19.50910535,0,21.69852405
HS.9,AZS_C1,0,0,0,0,22.80439273,19.43249121
HS.10,AZS_C1,0,23.86985482,21.51544596,20.47482803,22.50890669,21.24931164
HS.11,AZS_C1,0,23.3518409,0,0,21.38147301,0
HS.12,AZS_C1,0,0,0,18.69767797,0,0
HS.13,AZS_C1,0,24.44215241,21.87431324,20.55137784,0,20.5387955
HS.14,AZS_C1,16.21134832,21.8000503,0,18.94207927,23.07077181,0
HS.15,AZS_C1,15.67535532,0,0,0,0,0
HS.16,AZS_C1,0,0,21.57833663,19.7557647,22.00733686,0
MA.1,AZS_C1,0,0,22.41660802,21.10542296,0,0
MA.2,AZS_C1,0,0,23.03329601,22.51100506,0,0
MA.3,AZS_C1,0,0,22.17164404,21.87042409,0,0
MA.4,AZS_C1,0,0,22.56695096,22.46029763,0,0
MA.5,AZS_C1,0,0,20.67976765,21.6162936,0,0
MA.6,AZS_C1,0,0,22.3658994,22.17653324,0,0
MA.7,AZS_C1,0,0,22.50764186,22.1164116,0,0
SCO.1,AZS_C1,0,0,0,0,0,0
SCO.2,AZS_C1,0,0,0,0,22.55259371,0
SCO.3,AZS_C1,0,0,0,17.92002358,22.46475133,0
SCO.4,AZS_C1,0,0,0,0,0,0
SCO.5,AZS_C1,18.95906294,0,0,0,22.86025358,0
SCO.6,AZS_C1,0,0,0,0,22.38242932,0
SCO.7,AZS_C1,16.78376346,0,0,0,22.55905733,0
SCO.8,AZS_C1,17.37562033,0,0,0,22.42859685,0
SCO.9,AZS_C1,18.68610045,23.16367835,0,17.30334663,22.74863074,0
SCO.10,AZS_C1,0,0,0,0,0,0
