protein,Raw_NS.1,Raw_NS.2,Raw_NS.3,Raw_NS.4,Raw_NS.5,Raw_NS.6,Raw_NS.7,Raw_NS.8,Raw_NS.9,Raw_NS.10,Raw_NS.11,Raw_NS.12,Raw_NS.13,Raw_NS.14,Raw_NS.15,Raw_NS.16,Raw_NS.17,Raw_NS.18,Raw_NS.19,Raw_NS.20,Raw_OA.1,Raw_OA.2,Raw_OA.3,Raw_OA.4,Raw_OA.5,Raw_OA.6,Raw_OA.7,Raw_OA.8,Raw_OA.9,Raw_OA.10,Raw_HS.1,Raw_HS.2,Raw_HS.3,Raw_HS.4,Raw_HS.5,Raw_HS.6,Raw_HS.7,Raw_HS.8,Raw_HS.9,Raw_HS.10,Raw_MA.1,Raw_MA.2,Raw_MA.3,Raw_MA.4,Raw_MA.5,Raw_SCO.1,Raw_SCO.2,Raw_SCO.3,Raw_SCO.4,Raw_SCO.5,Raw_SCO.6,Raw_SCO.7,Raw_SCO.8,Raw_SCO.9,Raw_SCO.10,>>NormaExpression,NS.1,NS.2,NS.3,NS.4,NS.5,NS.6,NS.7,NS.8,NS.9,NS.10,NS.11,NS.12,NS.13,NS.14,NS.15,NS.16,NS.17,NS.18,NS.19,NS.20,OA.1,OA.2,OA.3,OA.4,OA.5,OA.6,OA.7,OA.8,OA.9,OA.10,HS.1,HS.2,HS.3,HS.4,HS.5,HS.6,HS.7,HS.8,HS.9,HS.10,MA.1,MA.2,MA.3,MA.4,MA.5,SCO.1,SCO.2,SCO.3,SCO.4,SCO.5,SCO.6,SCO.7,SCO.8,SCO.9,SCO.10,>>DiffResult,NS_mean,OA_mean,HS_mean,MA_mean,SCO_mean,Log2FC(Max/Min),ANOVA_pvalue,MA-HS,NS-HS,OA-HS,SCO-HS,NS-MA,OA-MA,SCO-MA,OA-NS,SCO-NS,SCO-OA,ANOVA_p.adjust,Diff
ACE-N509-H10N2,2621990.132,,987229.7333,2065987.969,1352394.12,1452661.813,,1357538.827,2495143.857,2475038.436,,607361.0946,1374045.689,,,2095813.066,,1644688.804,632845.2546,,1148174.911,,1588616.792,,1031394.822,,,,945583.2202,1206492.672,2511685.25,1622017.898,1190694.522,1239937.909,4524364.692,2638874.544,1622473.343,571607.4033,1734559.503,1969612.397,1145408.928,,,,,672733.6017,411039.6449,731060.8454,1115633.823,1166440.68,2858501.962,,814297.086,963953.4693,2541271.391,>>NormaExpression,21.32223138,0,19.91302778,20.97840112,20.36708528,20.47026844,0,20.37256309,21.25069214,21.23902008,0,19.21219735,20.3899996,0,0,20.9990793,0,20.64938408,19.27149552,0,20.13091226,0,20.59934064,0,19.97616668,0,0,0,19.85084643,20.20238892,21.26022483,20.6293592,20.18337311,20.24183761,22.10928411,21.33149188,20.62976423,19.1246676,20.72613873,20.90948105,20.12743258,0,0,0,0,19.35967794,18.64892153,19.47963393,20.08943344,20.15368275,21.44682835,0,19.63519749,19.87860548,21.27711959,>>DiffResult,13.32177226,10.07596549,20.71456224,4.025486517,17.99691005,16.68907572,0.004111329,0.006720411,0.18190613,0.054739785,0.952488068,0.203150883,0.694421626,0.033167415,0.861339535,0.619857756,0.245169729,0.015265624,YES
ACE-N509-H8N2,871795.5756,,,565141.6765,441679.0922,342090.6931,,,1002929.521,741571.5809,,,365188.3377,,506945.2259,466279.0177,,515196.4217,,,,,700515.1008,,,,,,468512.7404,484022.8962,728610.3418,,,,1283902.533,895868.9009,,213101.5375,614403.7814,598610.9308,,,,,,,,,,,551865.4407,,,,,>>NormaExpression,19.73363201,0,0,19.10825561,18.75264228,18.38402355,0,0,19.93579023,19.50022838,0,0,18.47828512,0,18.9514732,18.83083708,0,18.97476585,0,0,0,0,19.41805868,0,0,0,0,0,18.83773183,18.88471875,19.47478993,0,0,0,20.29210538,19.77292971,0,17.70118825,19.22882992,19.19126151,0,0,0,0,0,0,0,0,0,0,19.07395963,0,0,0,0,>>DiffResult,9.532496665,5.714050927,11.56611047,0,1.907395963,11.56611047,0.034776737,0.126601122,0.974147772,0.567289097,0.11263356,0.201999679,0.75365785,0.994474195,0.789844541,0.17626479,0.864825434,0.079093395,NO
ACE-N509-H9N2,8953360.795,4262758.157,4029378.549,7562552.894,4900178.761,6088788.487,1779113.163,5347362.164,9582621.217,7760662.91,4016571.639,2605489.303,5492282.496,6796265.694,6576479.934,7293415.671,5113515.559,5926256.307,2385622.996,,5014729.747,5499885.614,6557710.234,2833877.985,5341962.552,2627124.821,3213117.842,2038374.855,4792033.951,4807220.451,8225819.713,6370238.851,3592438.654,3978253.018,15069679.49,11040299.13,6047407.434,2754897.188,6646566.76,7336528.448,4178541.436,3013218.805,3031269.383,3721266.559,2777750.279,3006235.5,2398673.409,,4624796.767,3258266.399,6891455.874,1413971.825,4423703.79,3727552.221,2794843.015,>>NormaExpression,23.09399805,22.02335612,21.94212628,22.85044209,22.22440324,22.537724,20.76272766,22.35039623,23.19198906,22.88774865,21.93753354,21.31312345,22.38897466,22.69631104,22.64888438,22.79816339,22.28588434,22.49868984,21.18593524,0,22.25774081,22.39097045,22.64476094,21.43434672,22.3489387,21.32505387,21.61554291,20.95898866,22.192207,22.19677183,22.9717282,22.60291626,21.77653249,21.92370397,23.84514549,23.39627606,22.52788559,21.39356757,22.6641781,22.80666633,21.99456836,21.52287449,21.53149111,21.82736269,21.40548599,21.51952708,21.19380591,0,22.14095885,21.63567358,22.71637757,20.43132296,22.07682368,21.82979752,21.41433634,>>DiffResult,21.18092056,21.93653219,22.59086001,21.65635653,19.49586235,3.094997657,0.568377875,0.994476971,0.912860431,0.996949875,0.492580905,0.999437174,0.999952023,0.88674624,0.990783221,0.845951766,0.706430025,0.634860496,NO
ACP3-N220-H5N4S2F1,8940851.716,20191307.85,,11637144.16,10521018.44,8760666.196,4723971.999,10135450.39,10629358.65,13893733.79,13166313.56,7510431.69,12729782.93,18948329.34,13237086.89,31555548.03,18547582.92,4694386.93,20698144.09,,15095966.47,28637938.03,30032486.95,20570302.84,59875737.32,,30854535.79,14974688.45,79461780.89,37176177.52,12967246.93,7641063.227,4875066.215,20162677.98,13847257.03,5780936.92,8655987.356,2614801.067,10504582.73,9024225.566,15888194.4,5725630.885,,22824899.23,18754116.54,,,5831490.34,,,10237693.62,,,1575917.496,,>>NormaExpression,23.091981,24.2672311,0,23.47223384,23.32677117,23.06260932,22.17156929,23.27290701,23.34155135,23.72793113,23.65034824,22.8404646,23.6017046,24.17556739,23.65808243,24.91139039,24.14472793,22.16250564,24.30299815,0,23.84765988,24.77142433,24.84002066,24.29405977,25.8354682,0,24.8789793,23.83602275,26.24375781,25.14787514,23.62836899,22.86534216,22.21699068,24.265184,23.72309699,22.46287215,23.04526713,21.31827031,23.32451566,23.10537186,23.92145194,22.44900349,0,24.44410522,24.16070404,0,0,22.47543345,0,0,23.28738754,0,0,20.58776149,0,>>DiffResult,21.15912873,22.36952679,22.99552799,18.99505294,6.635058249,16.36046974,6.11E-05,0.882173211,0.973419485,0.999761682,0.000208866,0.980986278,0.932898242,0.043490758,0.994444121,0.000140871,0.000378042,0.000632437,YES
ACP3-N220-H6N5S2F1,,8881013.836,5687969.595,3973517.59,,,8256942.672,,5015647.007,,7406977.407,4378072.101,,6426457.102,9543304.895,20292436.95,11150189.41,,13956731.85,,7789158.969,13383072.21,14653297.49,11336079.16,28139997.32,3864497.511,,9581703.678,33798294.72,13761799.67,,5036560.748,4959160.746,10598996.09,,,,,5312945.147,6834712.564,7391858.461,,,6582405.137,1395449.952,,,,,,6497054.036,,,,5114983.63,>>NormaExpression,0,23.08229311,22.43948258,21.92198566,0,0,22.97717643,0,22.25800467,0,22.8204537,22.06186461,0,22.61559239,23.18605769,24.27443887,23.41056501,0,23.73445792,0,22.89303632,23.67390611,23.80472212,23.43441853,24.74611891,21.88184978,0,23.19185092,25.01044716,23.71416592,0,22.26400777,22.24166485,23.33742442,0,0,0,0,22.34108066,22.70444945,22.8175059,0,0,22.65018361,20.41229999,0,0,0,0,0,22.6313545,0,0,0,22.28629847,>>DiffResult,13.73911863,21.23505158,11.28886271,13.1759979,4.491765297,16.74328628,0.021434043,0.997570773,0.975549721,0.243070294,0.615331154,0.999970941,0.643883008,0.57641986,0.37743969,0.18309448,0.00819493,0.055069002,NO
ACP3-N220-H6N5S2F3,8641962.92,,,5886366.324,5454975.96,3710339.528,,5422901.209,5809001.959,11608968.04,10828443.04,,7619309.719,11193664.25,8881566.013,10288937.46,,2231649.272,,,4095236.177,15171837.38,8675198.416,6140853.197,33233299.51,1812502.328,12929747.01,8082497.677,10433911.83,9637722.688,,3767143.325,,,4800118.717,15618550.77,5575211.3,,,1901067.258,9618864.528,,,4460897.135,,,,,,,9196084.965,,,,1164161.637,>>NormaExpression,23.04292778,0,0,22.48894614,22.37914167,21.82312017,0,22.37063372,22.46985913,23.46873652,23.36832262,0,22.86122906,23.41617917,23.08238281,23.29459081,0,21.08967953,0,0,21.96551558,23.85489257,23.04846549,22.55000792,24.98612624,20.78955221,23.62419082,22.94636994,23.31477695,23.20026101,0,21.84503988,0,0,22.19463896,23.89675735,22.41059531,0,0,20.8583789,23.19743532,0,0,22.08890277,0,0,0,0,0,0,23.13258852,0,0,0,20.15086119,>>DiffResult,14.75778746,23.02801587,11.12054104,9.057267618,4.328344971,18.6996709,0.002196689,0.995535715,0.87920617,0.07313528,0.552925784,0.782922398,0.094277108,0.908038789,0.21936073,0.068157395,0.001025108,0.009406334,YES
ACP3-N220-H6N5S3F1,,12516913.05,,4428648.529,10367784.99,21030333.56,4109518.252,,,,5697651.701,4041306.173,,11904247.5,7747930.444,27497511.02,16046402.32,,18533520.73,,,15984928.08,,,33847411.14,,14143448.93,8239074.184,42095616.1,,7821028.383,,2409369.312,15132643.57,,17935845.49,1536646.788,,,,,5238485.003,,3693185.429,2601088.741,,,2478441.505,,,9157801.501,,,2249070.325,,>>NormaExpression,0,23.57737558,0,22.0784354,23.30560451,24.32596847,21.9705382,0,0,0,22.44193625,21.94639058,0,23.50497321,22.88537976,24.71279775,23.93574663,0,24.14363371,0,0,23.93020901,0,0,25.0125422,0,23.75363074,22.97405098,25.3271667,0,22.89892707,0,21.20022472,23.8511608,0,24.0963425,20.55135509,0,0,0,0,22.32071848,0,21.81643466,21.31068474,0,0,21.24100236,0,0,23.12657002,0,0,21.10089798,0,>>DiffResult,13.941439,12.09975996,11.25980102,13.08956758,6.546847037,7.394591966,0.605796711,0.998529358,0.976195163,0.999848942,0.897157287,0.999897488,0.999870418,0.847151319,0.994206321,0.490304311,0.828129066,0.660612272,NO
ACP3-N333-H5N2,,15505639.35,,18146896.37,22099608.55,13554297.67,4186872.962,25078955.48,18103661.4,16630244.29,17437824.41,28546594.55,11292489.33,14623891.32,8718531.552,2727722.699,,8946846.418,9788562.605,,23418262.01,29699182.6,31074627.15,2143090.674,75056446.76,11515872.74,15652102.35,15081455.19,48164516.61,56956459.2,15946394,5852630.14,30925072.91,11288489.06,13542864.93,14633271.08,,,10634430.99,,64811768.34,,,159260470.2,163032842.8,18483954.33,5959346.385,56823147.37,16687989.82,5393483.575,100975664.1,,50373512.84,67283521.91,17809158.14,>>NormaExpression,0,23.88628977,0,24.11321957,24.39751754,23.69224713,21.99744206,24.57997398,24.10977825,23.98730611,24.0557168,24.76681537,23.42886034,23.80182402,23.0556539,21.37926609,0,23.09294798,23.22266574,0,24.48113074,24.82391994,24.88923379,21.03126213,26.16147268,23.45712054,23.89985321,23.8462724,25.52146738,25.76335615,23.92672698,22.48065393,24.88227371,23.42834919,23.69102974,23.80274906,0,0,23.34223964,0,25.94975248,0,0,27.24681299,27.28058739,24.13977017,22.50672292,25.75997543,23.99230693,22.36278623,26.58943241,0,25.58616203,26.00374991,24.08611607,>>DiffResult,18.87837623,24.3875089,16.55540222,16.09543057,22.10270221,8.292078322,0.288186321,0.999985045,0.968047156,0.350185584,0.680414683,0.975646235,0.497779979,0.769923384,0.55887096,0.900844037,0.982239231,0.378103041,NO
ACP3-N333-H6N2,37722500.66,66787400.49,22328305.46,47541683.95,29157503.7,32474621.61,535004646.1,91598998.45,73906742.96,81728723.58,50508792.33,209795819.2,39145348.06,66692279.32,85198965.54,97520613.99,58383028.79,29766350.35,105246068.4,24530499.9,199210786.4,281703499.1,186577759.1,594481029.7,1399219597,90500426.98,166900939.6,480633482.1,641955376.7,235554680.9,40435854.48,25426529.41,378833069.7,49723330.97,41928314.35,135998524,59776043.2,41290470.62,12636484.08,65513505.54,107258007.9,337340915.3,52073071,218500825.2,283747165.5,49414718.15,204013481.4,43936017.95,78157856.61,154544899.8,525832817.7,50793188.98,134556348.4,138271801.1,327680368.4,>>NormaExpression,25.16892202,25.99307265,24.4123705,25.5026897,24.79736392,24.95280942,28.99497618,26.4488285,26.13920268,26.28433988,25.59003124,27.64441069,25.22233757,25.99101644,26.34433259,26.53920389,25.79904575,24.82717906,26.64919111,24.54807336,27.56972053,28.06960225,27.47520179,29.14705553,30.38197526,26.43142128,27.31441684,28.84036192,29.25789778,27.81148677,25.2691318,24.59983128,28.49698704,25.56741964,25.32142153,27.01901576,25.83306409,25.29930556,23.59109189,25.96528903,26.67651014,28.32963207,25.63403418,27.70306349,28.08003074,25.55843751,27.60408926,25.38890082,26.21988759,27.20345081,28.97002895,25.59813175,27.00363523,27.04293174,28.28771401,>>DiffResult,25.89246986,28.22991399,25.69625576,27.28465413,26.88772076,2.533658232,2.10E-05,0.114085511,0.99255834,0.00012814,0.172156696,0.140242171,0.586448068,0.97167766,4.37E-05,0.200847165,0.094554853,0.000267782,YES
ACP3-N333-H7N2,2597374.943,6650628.942,3229800.403,3679939.411,,2330530.413,126909631.8,,8850867.633,9203616.024,4728864.669,26407848.77,2614951.924,4886821.842,32217553.39,5363456.725,4743235.367,1508805.81,4875011.963,13980478.62,28501156.25,35931005.9,19079784.79,14941415.96,21333498.95,32264225.57,48498785.26,26929449.23,109619843.3,23732384.96,16528561.66,2050483.293,4070214.576,30807276.76,27176254.93,5447602.594,2683289.685,2400731.32,10846519.6,3419628.411,9647069.143,42046033.08,15396242.77,14857744.02,56776763.46,1649963.562,18066800.12,,4173761.36,,53281272.27,3663061.8,13554465.81,,3911723.103,>>NormaExpression,21.30862341,22.66505957,21.62301403,21.81125097,0,21.15222753,26.91922634,0,23.07738762,23.13376952,22.17306273,24.6544635,21.31835354,22.22046537,24.94134365,22.35473195,22.17744033,20.52497666,22.21697462,23.73691052,24.76451716,25.09872603,24.18554164,23.83281364,24.34661734,24.94343211,25.53144531,24.68268144,26.70793375,24.50035381,23.97845794,20.96753326,21.95667378,24.87676787,24.69584337,22.3771903,21.35557192,21.19504312,23.37072899,21.70540856,23.20165943,25.32546639,23.87607508,23.82471184,25.7587973,20.65400361,24.10683775,0,21.99291703,0,25.66712522,21.804619,23.69226503,0,21.89937319,>>DiffResult,20.40046409,24.85940622,22.64792191,24.39734201,15.98171408,8.877692139,0.030565508,0.987785846,0.898012207,0.940397696,0.163609567,0.733664132,0.999933519,0.14193165,0.400685969,0.40991039,0.028272922,0.071893519,NO
