"","Raw_NS.1","Raw_NS.2","Raw_NS.3","Raw_NS.4","Raw_NS.5","Raw_NS.6","Raw_NS.7","Raw_NS.8","Raw_NS.9","Raw_NS.10","Raw_NS.11","Raw_NS.12","Raw_NS.13","Raw_NS.14","Raw_NS.15","Raw_NS.16","Raw_NS.17","Raw_NS.18","Raw_NS.19","Raw_NS.20","Raw_OA.1","Raw_OA.2","Raw_OA.3","Raw_OA.4","Raw_OA.5","Raw_OA.6","Raw_OA.7","Raw_OA.8","Raw_OA.9","Raw_OA.10","Raw_HS.1","Raw_HS.2","Raw_HS.3","Raw_HS.4","Raw_HS.5","Raw_HS.6","Raw_HS.7","Raw_HS.8","Raw_HS.9","Raw_HS.10","Raw_MA.1","Raw_MA.2","Raw_MA.3","Raw_MA.4","Raw_MA.5","Raw_SCO.1","Raw_SCO.2","Raw_SCO.3","Raw_SCO.4","Raw_SCO.5","Raw_SCO.6","Raw_SCO.7","Raw_SCO.8","Raw_SCO.9","Raw_SCO.10",">>NormaExpression","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","NS.7","NS.8","NS.9","NS.10","NS.11","NS.12","NS.13","NS.14","NS.15","NS.16","NS.17","NS.18","NS.19","NS.20","OA.1","OA.2","OA.3","OA.4","OA.5","OA.6","OA.7","OA.8","OA.9","OA.10","HS.1","HS.2","HS.3","HS.4","HS.5","HS.6","HS.7","HS.8","HS.9","HS.10","MA.1","MA.2","MA.3","MA.4","MA.5","SCO.1","SCO.2","SCO.3","SCO.4","SCO.5","SCO.6","SCO.7","SCO.8","SCO.9","SCO.10",">>DiffResult","NS_mean","OA_mean","HS_mean","MA_mean","SCO_mean","Log2FC(Max/Min)","ANOVA_pvalue","MA-HS","NS-HS","OA-HS","SCO-HS","NS-MA","OA-MA","SCO-MA","OA-NS","SCO-NS","SCO-OA","ANOVA_p.adjust","Diff"
"ACE-N509-H10N2",2621990.132,,987229.7333,2065987.969,1352394.12,1452661.813,,1357538.827,2495143.857,2475038.436,,607361.0946,1374045.689,,,2095813.066,,1644688.804,632845.2546,,1148174.911,,1588616.792,,1031394.822,,,,945583.2202,1206492.672,2511685.25,1622017.898,1190694.522,1239937.909,4524364.692,2638874.544,1622473.343,571607.4033,1734559.503,1969612.397,1145408.928,,,,,672733.6017,411039.6449,731060.8454,1115633.823,1166440.68,2858501.962,,814297.086,963953.4693,2541271.391,">>NormaExpression",21.3222313754631,0,19.9130277818996,20.9784011205206,20.3670852848381,20.470268437838,0,20.3725630932268,21.2506921437681,21.2390200818572,0,19.2121973473165,20.3899995959288,0,0,20.9990793005324,0,20.6493840800748,19.2714955243791,0,20.1309122622831,0,20.5993406355379,0,19.9761666758862,0,0,0,19.8508464346253,20.2023889180331,21.2602248289999,20.6293591976907,20.1833731117793,20.2418376110219,22.1092841124257,21.3314918804704,20.6297642336692,19.1246676003004,20.7261387333014,20.9094810492769,20.1274325827141,0,0,0,0,19.359677938667,18.6489215332985,19.4796339329781,20.0894334412388,20.153682746275,21.4468283545269,0,19.6351974857241,19.8786054793294,21.2771195909504,">>DiffResult",13.3217722583822,10.0759654926366,20.7145622358936,4.02548651654282,17.9969100502988,16.6890757193508,0.00411132905398561,0.00672041065622953,0.18190612991267,0.0547397853671094,0.952488067894228,0.203150882641293,0.694421626118736,0.0331674147990177,0.861339534566195,0.619857755533882,0.245169729160201,0.0152656242226976,"YES"
"ACE-N509-H8N2",871795.5756,,,565141.6765,441679.0922,342090.6931,,,1002929.521,741571.5809,,,365188.3377,,506945.2259,466279.0177,,515196.4217,,,,,700515.1008,,,,,,468512.7404,484022.8962,728610.3418,,,,1283902.533,895868.9009,,213101.5375,614403.7814,598610.9308,,,,,,,,,,,551865.4407,,,,,">>NormaExpression",19.7336320112618,0,0,19.108255612219,18.7526422818396,18.3840235464791,0,0,19.9357902346156,19.5002283767998,0,0,18.4782851185325,0,18.9514731965335,18.8308370791461,0,18.9747658479555,0,0,0,0,19.4180586846609,0,0,0,0,0,18.8377318337754,18.884718749371,19.4747899271503,0,0,0,20.2921053779442,19.7729297123511,0,17.7011882464259,19.2288299178319,19.1912615075903,0,0,0,0,0,0,0,0,0,0,19.0739596315595,0,0,0,0,">>DiffResult",9.53249666526912,5.71405092678073,11.5661104689294,0,1.90739596315595,11.5661104689294,0.0347767366042712,0.126601121716165,0.974147771544453,0.567289096738601,0.112633559914708,0.201999678651773,0.75365785007552,0.994474194616778,0.789844540533154,0.176264790117034,0.86482543362328,0.0790933951174962,"NO"
"ACE-N509-H9N2",8953360.795,4262758.157,4029378.549,7562552.894,4900178.761,6088788.487,1779113.163,5347362.164,9582621.217,7760662.91,4016571.639,2605489.303,5492282.496,6796265.694,6576479.934,7293415.671,5113515.559,5926256.307,2385622.996,,5014729.747,5499885.614,6557710.234,2833877.985,5341962.552,2627124.821,3213117.842,2038374.855,4792033.951,4807220.451,8225819.713,6370238.851,3592438.654,3978253.018,15069679.49,11040299.13,6047407.434,2754897.188,6646566.76,7336528.448,4178541.436,3013218.805,3031269.383,3721266.559,2777750.279,3006235.5,2398673.409,,4624796.767,3258266.399,6891455.874,1413971.825,4423703.79,3727552.221,2794843.015,">>NormaExpression",23.0939980544181,22.0233561156377,21.9421262764413,22.8504420878985,22.2244032441737,22.5377240035819,20.7627276584056,22.3503962294364,23.1919890626354,22.887748646826,21.9375335369573,21.3131234547442,22.388974664532,22.6963110361138,22.6488843756014,22.7981633865594,22.2858843413817,22.4986898361016,21.1859352436008,0,22.2577408104615,22.3909704455785,22.6447609439968,21.4343467215575,22.3489387018812,21.3250538664786,21.6155429113515,20.9589886630995,22.1922069998738,22.1967718339817,22.9717281970481,22.6029162628943,21.7765324917392,21.9237039668656,23.8451454931991,23.3962760564524,22.5278855893269,21.3935675718296,22.6641781048384,22.8066663255475,21.9945683568298,21.5228744862051,21.5314911125766,21.8273626932373,21.405485994915,21.5195270795618,21.1938059118661,0,22.1409588502125,21.6356735769264,22.7163775744182,20.4313229627286,22.0768236817925,21.8297975203908,21.4143363353745,">>DiffResult",21.1809205627523,21.9365321898261,22.5908600059741,21.6563565287528,19.4958623493271,3.09499765664698,0.568377874582444,0.99447697090254,0.912860430877838,0.996949875212649,0.492580904978791,0.999437174003895,0.99995202251967,0.886746239597862,0.990783221088465,0.845951766455419,0.706430025046201,0.634860495771931,"NO"
"ACP3-N220-H5N4S2F1",8940851.716,20191307.85,,11637144.16,10521018.44,8760666.196,4723971.999,10135450.39,10629358.65,13893733.79,13166313.56,7510431.69,12729782.93,18948329.34,13237086.89,31555548.03,18547582.92,4694386.93,20698144.09,,15095966.47,28637938.03,30032486.95,20570302.84,59875737.32,,30854535.79,14974688.45,79461780.89,37176177.52,12967246.93,7641063.227,4875066.215,20162677.98,13847257.03,5780936.92,8655987.356,2614801.067,10504582.73,9024225.566,15888194.4,5725630.885,,22824899.23,18754116.54,,,5831490.34,,,10237693.62,,,1575917.496,,">>NormaExpression",23.0919810014574,24.2672310969315,0,23.472233841988,23.326771166349,23.062609316286,22.1715692880135,23.2729070059629,23.3415513506764,23.7279311280915,23.6503482353117,22.8404645958034,23.6017045959596,24.1755673930128,23.6580824337316,24.9113903890433,24.1447279322623,22.16250563606,24.3029981474257,0,23.847659883431,24.7714243349496,24.8400206597343,24.2940597680026,25.8354682048564,0,24.8789793002058,23.8360227484549,26.243757809702,25.1478751420107,23.6283689896736,22.8653421562881,22.2169906794846,24.2651840041597,23.723096992966,22.4628721490325,23.0452671277828,21.3182703120621,23.3245156570113,23.1053718584196,23.9214519351963,22.4490034882195,0,24.4441052182656,24.1607040439468,0,0,22.4754334533814,0,0,23.2873875421721,0,0,20.5877614921532,0,">>DiffResult",21.1591287277183,22.3695267851347,22.995527992688,18.9950529371256,6.63505824877067,16.3604697439174,6.11338211619591e-05,0.882173211495951,0.973419485366939,0.999761681637399,0.000208866128966201,0.980986278139754,0.932898241931455,0.0434907578766988,0.994444121423559,0.000140870866151666,0.000378042229953524,0.000632437495029471,"YES"
"ACP3-N220-H6N5S2F1",,8881013.836,5687969.595,3973517.59,,,8256942.672,,5015647.007,,7406977.407,4378072.101,,6426457.102,9543304.895,20292436.95,11150189.41,,13956731.85,,7789158.969,13383072.21,14653297.49,11336079.16,28139997.32,3864497.511,,9581703.678,33798294.72,13761799.67,,5036560.748,4959160.746,10598996.09,,,,,5312945.147,6834712.564,7391858.461,,,6582405.137,1395449.952,,,,,,6497054.036,,,,5114983.63,">>NormaExpression",0,23.0822931124772,22.439482576026,21.9219856633787,0,0,22.9771764326621,0,22.2580046741678,0,22.8204537007532,22.0618646128265,0,22.6155923945044,23.1860576858845,24.2744388662744,23.4105650112376,0,23.734457922897,0,22.8930363168787,23.673906110215,23.8047221192704,23.4344185292408,24.7461189066549,21.8818497796878,0,23.1918509175314,25.0104471646156,23.714165916789,0,22.2640077709389,22.2416648497969,23.3374244231759,0,0,0,0,22.3410806587868,22.7044494465182,22.8175058968512,0,0,22.6501836133737,20.4122999860607,0,0,0,0,0,22.6313544955071,0,0,0,22.2862984741518,">>DiffResult",13.7391186326545,21.2350515760884,11.2888627149217,13.1759978992571,4.4917652969659,16.7432862791225,0.0214340425431181,0.997570773169639,0.975549721024871,0.243070294178889,0.615331153690818,0.99997094090294,0.643883007714207,0.576419860022745,0.377439689865241,0.183094479731209,0.00819493010915728,0.0550690016107804,"NO"
"ACP3-N220-H6N5S2F3",8641962.92,,,5886366.324,5454975.96,3710339.528,,5422901.209,5809001.959,11608968.04,10828443.04,,7619309.719,11193664.25,8881566.013,10288937.46,,2231649.272,,,4095236.177,15171837.38,8675198.416,6140853.197,33233299.51,1812502.328,12929747.01,8082497.677,10433911.83,9637722.688,,3767143.325,,,4800118.717,15618550.77,5575211.3,,,1901067.258,9618864.528,,,4460897.135,,,,,,,9196084.965,,,,1164161.637,">>NormaExpression",23.0429277770459,0,0,22.4889461421798,22.3791416724241,21.8231201700549,0,22.3706337238442,22.4698591340654,23.4687365204011,23.3683226184185,0,22.8612290595284,23.4161791734642,23.0823828092372,23.2945908070368,0,21.0896795255307,0,0,21.965515577765,23.8548925725399,23.0484654904926,22.5500079187408,24.9861262432167,20.7895522134364,23.6241908227111,22.9463699355251,23.3147769497617,23.2002610091584,0,21.8450398754986,0,0,22.1946389570264,23.8967573500151,22.4105953121734,0,0,20.8583789023155,23.1974353184502,0,0,22.0889027737441,0,0,0,0,0,0,23.1325885217547,0,0,0,20.1508611904595,">>DiffResult",14.7577874566616,23.0280158733348,11.1205410397029,9.05726761843885,4.32834497122142,18.6996709021134,0.0021966887036617,0.995535715239731,0.879206169903134,0.0731352804297113,0.552925784449761,0.782922398422512,0.0942771078166625,0.908038788588902,0.219360730489609,0.0681573946898284,0.00102510788387689,0.00940633367978215,"YES"
"ACP3-N220-H6N5S3F1",,12516913.05,,4428648.529,10367784.99,21030333.56,4109518.252,,,,5697651.701,4041306.173,,11904247.5,7747930.444,27497511.02,16046402.32,,18533520.73,,,15984928.08,,,33847411.14,,14143448.93,8239074.184,42095616.1,,7821028.383,,2409369.312,15132643.57,,17935845.49,1536646.788,,,,,5238485.003,,3693185.429,2601088.741,,,2478441.505,,,9157801.501,,,2249070.325,,">>NormaExpression",0,23.5773755848263,0,22.0784354001938,23.3056045079988,24.3259684655039,21.9705382008656,0,0,0,22.4419362545494,21.9463905818506,0,23.5049732121995,22.8853797579273,24.7127977534384,23.9357466286068,0,24.1436337117749,0,0,23.9302090075693,0,0,25.0125421985876,0,23.7536307355486,22.9740509768375,25.327166695193,0,22.8989270730222,0,21.20022471725,23.8511607981393,0,24.0963424997276,20.5513550949673,0,0,0,0,22.3207184819321,0,21.8164346597597,21.3106847443307,0,0,21.2410023608282,0,0,23.1265700212214,0,0,21.1008979834822,0,">>DiffResult",13.9414390029868,12.0997599613736,11.2598010183106,13.0895675772045,6.54684703655318,7.3945919664336,0.605796711292081,0.998529357533298,0.976195162637019,0.999848942266429,0.897157287170265,0.999897488475948,0.999870418053574,0.847151319216543,0.994206321436885,0.490304310605834,0.828129066121466,0.660612271922055,"NO"
"ACP3-N333-H5N2",,15505639.35,,18146896.37,22099608.55,13554297.67,4186872.962,25078955.48,18103661.4,16630244.29,17437824.41,28546594.55,11292489.33,14623891.32,8718531.552,2727722.699,,8946846.418,9788562.605,,23418262.01,29699182.6,31074627.15,2143090.674,75056446.76,11515872.74,15652102.35,15081455.19,48164516.61,56956459.2,15946394,5852630.14,30925072.91,11288489.06,13542864.93,14633271.08,,,10634430.99,,64811768.34,,,159260470.2,163032842.8,18483954.33,5959346.385,56823147.37,16687989.82,5393483.575,100975664.1,,50373512.84,67283521.91,17809158.14,">>NormaExpression",0,23.8862897716321,0,24.1132195715762,24.3975175449027,23.6922471310213,21.9974420584235,24.5799739839444,24.1097782505713,23.9873061122148,24.0557168037634,24.7668153651063,23.428860342577,23.8018240167734,23.0556538994974,21.379266085288,0,23.0929479817965,23.2226657404932,0,24.4811307357897,24.8239199375803,24.8892337917931,21.0312621341293,26.1614726767878,23.4571205406088,23.8998532056324,23.846272398963,25.5214673808083,25.7633561509197,23.9267269751319,22.4806539255146,24.8822737074152,23.4283491894161,23.6910297373549,23.8027490642944,0,0,23.342239641836,0,25.949752483906,0,0,27.2468129903037,27.2805873911272,24.1397701722854,22.5067229174653,25.7599754325914,23.992306933561,22.3627862272304,26.5894324078219,0,25.5861620349283,26.0037499101097,24.0861160653681,">>DiffResult",18.8783762329791,24.3875088953012,16.5554022240963,16.0954305730674,22.1027022101361,8.29207832223386,0.288186321168681,0.99998504543484,0.968047155843293,0.35018558419185,0.680414683428234,0.975646235098752,0.497779978757546,0.769923384207612,0.558870959653518,0.900844037084478,0.982239231056685,0.378103040904812,"NO"
"ACP3-N333-H6N2",37722500.66,66787400.49,22328305.46,47541683.95,29157503.7,32474621.61,535004646.1,91598998.45,73906742.96,81728723.58,50508792.33,209795819.2,39145348.06,66692279.32,85198965.54,97520613.99,58383028.79,29766350.35,105246068.4,24530499.9,199210786.4,281703499.1,186577759.1,594481029.7,1399219597,90500426.98,166900939.6,480633482.1,641955376.7,235554680.9,40435854.48,25426529.41,378833069.7,49723330.97,41928314.35,135998524,59776043.2,41290470.62,12636484.08,65513505.54,107258007.9,337340915.3,52073071,218500825.2,283747165.5,49414718.15,204013481.4,43936017.95,78157856.61,154544899.8,525832817.7,50793188.98,134556348.4,138271801.1,327680368.4,">>NormaExpression",25.1689220192489,25.9930726483166,24.4123704951115,25.5026896997159,24.7973639232806,24.9528094243159,28.9949761820501,26.4488285038394,26.1392026799189,26.2843398848814,25.5900312399815,27.6444106942267,25.2223375723239,25.9910164422841,26.3443325949366,26.5392038882031,25.7990457457195,24.8271790563665,26.649191113407,24.5480733574861,27.5697205315406,28.069602248071,27.4752017875949,29.1470555348366,30.3819752554335,26.4314212789838,27.3144168443874,28.8403619157225,29.2578977782404,27.8114867664891,25.2691317983252,24.5998312759922,28.496987037245,25.5674196391122,25.3214215290959,27.0190157636133,25.8330640911393,25.2993055612906,23.5910918885772,25.9652890336021,26.6765101361377,28.3296320734913,25.6340341838345,27.7030634939844,28.0800307448177,25.5584375052468,27.6040892561432,25.3889008170567,26.2198875862544,27.2034508124415,28.9700289465059,25.5981317470225,27.0036352290944,27.0429317354118,28.2877140059265,">>DiffResult",25.8924698582807,28.22991399413,25.6962557617993,27.2846541264531,26.8877207641104,2.53365823233066,2.09762094523976e-05,0.114085510586509,0.992558340257123,0.000128140202005134,0.172156696389702,0.140242170922384,0.586448067556435,0.971677660293256,4.37416040627303e-05,0.200847164920651,0.0945548530632989,0.000267781627648686,"YES"
"ACP3-N333-H7N2",2597374.943,6650628.942,3229800.403,3679939.411,,2330530.413,126909631.8,,8850867.633,9203616.024,4728864.669,26407848.77,2614951.924,4886821.842,32217553.39,5363456.725,4743235.367,1508805.81,4875011.963,13980478.62,28501156.25,35931005.9,19079784.79,14941415.96,21333498.95,32264225.57,48498785.26,26929449.23,109619843.3,23732384.96,16528561.66,2050483.293,4070214.576,30807276.76,27176254.93,5447602.594,2683289.685,2400731.32,10846519.6,3419628.411,9647069.143,42046033.08,15396242.77,14857744.02,56776763.46,1649963.562,18066800.12,,4173761.36,,53281272.27,3663061.8,13554465.81,,3911723.103,">>NormaExpression",21.3086234134709,22.6650595672549,21.6230140272107,21.8112509743426,0,21.1522275282744,26.9192263370672,0,23.077387618986,23.133769521479,22.1730627296396,24.6544635006485,21.3183535437417,22.2204653740109,24.9413436485313,22.3547319495566,22.1774403325344,20.524976662069,22.2169746244184,23.7369105194547,24.7645171633114,25.0987260289778,24.1855416384145,23.832813635915,24.3466173362327,24.9434321061821,25.5314453067981,24.68268144145,26.7079337497485,24.5003538148749,23.9784579361224,20.9675332617834,21.9566737771301,24.8767678705855,24.6958433740589,22.3771902958428,21.3555719217577,21.1950431223564,23.3707289863132,21.7054085564583,23.2016594254912,25.3254663913757,23.8760750829636,23.8247118369302,25.7587973006899,20.6540036078705,24.1068377516619,0,21.9929170299538,0,25.6671252233168,21.8046190043242,23.6922650274279,0,21.8993731887784,">>DiffResult",20.4004640936345,24.8594062221905,22.6479219102409,24.3973420074901,15.9817140833333,8.87769213885716,0.0305655082884292,0.98778584648381,0.898012206891153,0.940397696491793,0.163609566552583,0.733664132390655,0.99993351947045,0.141931649512136,0.400685969024224,0.409910390439677,0.0282729220548161,0.0718935194953193,"NO"
