Sample_id,Type,MPO-N355-H6N2,ACP3-N94-H5N4F1
OA.1,AZS_C2,21.11403543,20.04231642
OA.2,AZS_C2,21.02486464,20.40687842
OA.3,AZS_C2,18.71283259,20.56924851
OA.4,AZS_C2,0,18.72111681
OA.5,AZS_C2,22.78533328,16.51004422
OA.6,AZS_C2,20.19145804,19.28333488
OA.7,AZS_C2,17.09145847,15.79944439
OA.8,AZS_C2,18.74608574,19.29491921
OA.9,AZS_C2,20.69664645,17.84091319
OA.10,AZS_C2,0,18.27400309
OA.11,AZS_C2,17.1173706,15.15614572
OA.12,AZS_C2,20.03938236,19.08218804
HS.1,AZS_C1,18.07152083,0
HS.2,AZS_C1,19.20008031,0
HS.3,AZS_C1,17.39489502,17.65657924
HS.4,AZS_C1,0,0
HS.5,AZS_C1,0,16.23464291
HS.6,AZS_C1,0,0
HS.7,AZS_C1,0,0
HS.8,AZS_C1,0,0
HS.9,AZS_C1,0,0
HS.10,AZS_C1,0,17.5892579
HS.11,AZS_C1,0,14.62404137
HS.12,AZS_C1,0,0
HS.13,AZS_C1,0,18.35573201
HS.14,AZS_C1,16.21134832,0
HS.15,AZS_C1,15.67535532,17.77132627
HS.16,AZS_C1,0,18.04783872
MA.1,AZS_C1,0,0
MA.2,AZS_C1,0,0
MA.3,AZS_C1,0,0
MA.4,AZS_C1,0,0
MA.5,AZS_C1,0,0
MA.6,AZS_C1,0,0
MA.7,AZS_C1,0,0
SCO.1,AZS_C1,0,0
SCO.2,AZS_C1,0,19.89129076
SCO.3,AZS_C1,0,20.03932603
SCO.4,AZS_C1,0,16.71792869
SCO.5,AZS_C1,18.95906294,18.78009984
SCO.6,AZS_C1,0,16.34944512
SCO.7,AZS_C1,16.78376346,18.20474451
SCO.8,AZS_C1,17.37562033,19.67465809
SCO.9,AZS_C1,18.68610045,19.02669507
SCO.10,AZS_C1,0,0
